,ENERGY (kcal),PROTEIN (g),FAT (g),CARBS (g),FIBER (g)
Pizza,268.0,10.36,12.28,29.02,2.2
Cheese Pizza,268.0,10.36,12.28,29.02,2.2
Frozen Pizza,268.0,10.36,12.28,29.02,2.2
Sausage Pizza,280.0,11.5,12.35,30.62,2.3
Pepperoni Pizza,282.0,11.74,11.91,31.98,2.3
Stuffed Cheeze Pizza,274.0,12.23,11.63,30.0,1.7
Veggy Cheese Pizza,244.0,11.02,10.9,25.38,2.2
Thick Crust Sausage Pizza,282.0,11.06,12.94,30.36,2.3
Thin Crust Cheese Pizza,302.0,12.85,13.95,31.2,2.5
Thick Crust Cheese Pizza,271.0,10.81,10.54,33.17,2.2
Thick Crust Pepperoni Pizza,287.0,11.49,12.58,31.84,2.2
Thin Crust Pepperoni Pizza,331.0,14.01,17.61,29.0,2.3
Thin Crust Sausage Pizza,321.0,13.36,17.71,27.0,2.5
Pizza Hut Pan Pizza,377.75,5.94,22.77,37.34,1.59
Naked Pizza Chicken Pizza,217.39,13.04,5.59,29.19,4.97
Mushroom Pizza,167.59,8.44,11.32,8.45,1.21
Pepperoni Pizza,198.57,9.59,9.93,17.43,1.54
Pizza Crust,271.0,8.8,3.5,50.0,2.7
Individual Pizzas,221.61,10.31,9.91,22.46,1.7
Pizza Biscuit,284.7,12.19,15.18,24.93,1.24
Pizza Dough,271.0,8.8,3.5,50.0,2.7
Antipasto Pizza,201.38,11.39,10.6,14.92,1.74
